fips,st,census
01,AL,South
02,AK,West
04,AZ,West
05,AR,South
06,CA,West
08,CO,West
09,CT,Northeast
11,DC,South
10,DE,South
12,FL,South
13,GA,South
15,HI,West
16,ID,West
17,IL,Midwest
18,IN,Midwest
19,IA,Midwest
20,KS,Midwest
21,KY,South
22,LA,South
23,ME,Northeast
24,MD,South
25,MA,Northeast
26,MI,Midwest
27,MN,Midwest
28,MS,South
29,MO,Midwest
30,MT,West
31,NE,Midwest
32,NV,West
33,NH,Northeast
34,NJ,Northeast
35,NM,West
36,NY,Northeast
37,NC,South
38,ND,Midwest
39,OH,Midwest
40,OK,South
41,OR,West
42,PA,Northeast
44,RI,Northeast
45,SC,South
46,SD,Midwest
47,TN,South
48,TX,South
49,UT,West
50,VT,Northeast
51,VA,South
53,WA,West
54,WV,South
55,WI,Midwest
56,WY,West
